Modo,Hora_inicio,Origen,Destino,Ponderador,Origen_ageb,Destino_ageb,Periodo
Transporte Público,12,140440011,1404400020115,4,1031,1014,EA
Transporte Público,12,140440011,1404400540401,15,1031,1033,EA
Transporte Público,12,140440011,1404400540416,15,1031,1034,EA
Transporte Público,12,140440011,1407000010045,15,1031,3002,EA
Transporte Público,12,140440026,1404400540401,30,1032,1033,EA
Transporte Público,12,140440026,140440002005A,15,1032,1013,EA
Transporte Público,12,140440026,140440002012A,30,1032,1015,EA
Transporte Público,12,140701467,1405100020209,13,3133,2017,EA
Transporte Público,12,140701467,1410100010931,13,3133,7051,EA
Transporte Público,12,140701467,1412000013293,13,3133,8170,EA
Transporte Público,12,140970015,1409700201013,22,5060,5079,EA
Transporte Público,12,140970602,1409800011928,52,5242,6099,EA
Transporte Público,12,140970602,1412000010373,104,5242,8009,EA
Transporte Público,12,140972308,1409700340388,11,5384,5158,EA
Transporte Público,12,140972416,140970015,9,5387,5060,EA
Transporte Público,12,140972416,1409800012714,9,5387,6157,EA
Transporte Público,12,140973679,1409700012098,31,5390,5021,EA
Transporte Público,12,140980012,140970602,119,6216,5242,EA
Transporte Público,12,140980012,140980012,59,6216,6216,EA
Transporte Público,12,140980012,1409800012451,38,6216,6134,EA
Transporte Público,12,140980012,1409800141129,13,6216,6219,EA
Transporte Público,12,140980243,1407000130401,9,6237,3033,EA
Transporte Público,12,140980243,1409800010084,18,6237,6005,EA
Transporte Público,12,140980243,1409800011928,9,6237,6099,EA
Transporte Público,12,140980243,1409800012216,9,6237,6117,EA
Transporte Público,12,140980243,1409800012818,9,6237,6167,EA
Transporte Público,12,141011963,1403900010651,62,7230,47,EA
Transporte Público,12,141011963,1403900010863,124,7230,67,EA
Transporte Público,12,141011963,1403900015065,82,7230,383,EA
Transporte Público,12,141011963,1410100011094,62,7230,7066,EA
Transporte Público,12,141011963,1410100011982,124,7230,7124,EA
Transporte Público,12,141200034,1412000010405,33,8442,8011,EA
Transporte Público,12,141200034,1412004306940,33,8442,8519,EA
Transporte Público,12,141200068,1412004306940,33,8451,8519,EA
Transporte Público,12,141200087,141200206504A,4,8452,8461,EA
Transporte Público,12,141205567,1410100010823,82,8546,7043,EA
Transporte Público,12,141240029,141240014,2,9042,9041,EA
Transporte Público,12,141240029,141240029,8,9042,9042,EA
Transporte Público,12,141240090,141240090,12,9047,9047,EA
Transporte Público,12,141240090,1409800011379,2,9047,6059,EA
Transporte Público,12,141240090,1412400010175,12,9047,9005,EA
Transporte Público,12,141240090,140510001004A,2,9047,2001,EA
Transporte Público,12,999990005,1404400010098,18,10004,1004,EA
Transporte Público,12,999990005,1404400010295,12,10004,1007,EA
Transporte Público,12,999990005,1409704393880,31,10004,5234,EA
Transporte Público,12,999990005,140440002012A,4,10004,1015,EA
Transporte Público,12,1403900010030,1403900010295,43,2,17,EA
Transporte Público,12,1403900010115,1403900014476,131,6,328,EA
