Modo,Hora_inicio,Origen,Destino,Ponderador,Origen_ageb,Destino_ageb,Periodo
Transporte Público,21,140440011,1409700053575,11,1031,5049,LN
Transporte Público,21,140701467,1409708223077,136,3133,5279,LN
Transporte Público,21,140970015,1409700320053,59,5060,5135,LN
Transporte Público,21,140970602,1409700250369,28,5242,5088,LN
Transporte Público,21,140970602,1409700350138,108,5242,5169,LN
Transporte Público,21,140972308,1409708374200,136,5384,5332,LN
Transporte Público,21,140972308,1409708823984,136,5384,5377,LN
Transporte Público,21,140973541,1409700321189,59,5388,5149,LN
Transporte Público,21,140980243,1409800011063,9,6237,6037,LN
Transporte Público,21,141012552,1403900015099,131,7231,386,LN
Transporte Público,21,141012552,1410100010679,23,7231,7031,LN
Transporte Público,21,141012552,1410100011427,82,7231,7092,LN
Transporte Público,21,141012567,1407000430651,9,7232,3103,LN
Transporte Público,21,141200123,1412002315872,75,8455,8488,LN
Transporte Público,21,141205567,1403900012709,68,8546,222,LN
Transporte Público,21,141205567,1412000012948,49,8546,8140,LN
Transporte Público,21,141205567,1412000620176,75,8546,8446,LN
Transporte Público,21,999990001,1405100010139,1,10006,2010,LN
Transporte Público,21,999990001,1412000014215,137,10006,8230,LN
Transporte Público,21,999990005,1404400010280,6,10004,1006,LN
Transporte Público,21,999990005,1404400020134,4,10004,1016,LN
Transporte Público,21,999990005,1404400540435,15,10004,1036,LN
Transporte Público,21,999990005,1409708222168,136,10004,5271,LN
Transporte Público,21,999990005,1409800011951,93,10004,6100,LN
Transporte Público,21,999990005,1410100312317,13,10004,7211,LN
Transporte Público,21,999990006,1403900015559,93,10005,430,LN
Transporte Público,21,999990006,1409700432628,11,10005,5205,LN
Transporte Público,21,1403900010030,1403900011289,43,2,104,LN
Transporte Público,21,1403900010064,1410100010537,10,4,7020,LN
Transporte Público,21,1403900010115,1407000140469,36,6,3051,LN
Transporte Público,21,1403900010115,1412000012774,54,6,8125,LN
Transporte Público,21,1403900010153,1412000011206,19,9,8036,LN
Transporte Público,21,1403900010153,1412000013575,19,9,8189,LN
Transporte Público,21,1403900010308,1409700250477,28,18,5091,LN
Transporte Público,21,1403900010346,1403900010505,226,21,35,LN
Transporte Público,21,1403900010346,1403900013088,226,21,232,LN
Transporte Público,21,1403900010346,1403900013923,226,21,279,LN
Transporte Público,21,1403900010365,1403900010882,140,23,69,LN
Transporte Público,21,1403900010365,1403900013730,27,23,263,LN
Transporte Público,21,1403900010365,1403900014762,75,23,353,LN
Transporte Público,21,1403900010365,1403900015120,131,23,389,LN
Transporte Público,21,1403900010365,1409700350138,54,23,5169,LN
Transporte Público,21,1403900010365,1409701150890,33,23,5212,LN
Transporte Público,21,1403900010401,1409800012911,52,27,6175,LN
Transporte Público,21,1403900010435,1403900011185,63,29,97,LN
Transporte Público,21,1403900010435,1403900013694,27,29,259,LN
Transporte Público,21,1403900010435,1403900014118,114,29,298,LN
Transporte Público,21,1403900010505,1403900015243,140,35,400,LN
Transporte Público,21,1403900010505,1412000011634,77,35,8047,LN
Transporte Público,21,1403900010613,1412000012280,77,44,8081,LN
Transporte Público,21,1403900010666,1409705603467,59,48,5239,LN
Transporte Público,21,1403900010666,1412000015162,27,48,8298,LN
Transporte Público,21,1403900010670,1403900014847,128,49,361,LN
Transporte Público,21,1403900010755,1403900010435,63,57,29,LN
Transporte Público,21,1403900010755,1412000013397,100,57,8176,LN
Transporte Público,21,1403900010806,1412000014198,140,61,8228,LN
Transporte Público,21,1403900010863,1403900010806,281,67,61,LN
Transporte Público,21,1403900010863,1403900013798,128,67,267,LN
Transporte Público,21,1403900010863,1403900014828,128,67,359,LN
Transporte Público,21,1403900010863,1409800011434,91,67,6063,LN
Transporte Público,21,1403900010882,1410100012603,82,69,7149,LN
Transporte Público,21,1403900010929,1403900011414,63,72,117,LN
Transporte Público,21,1403900010952,1407000210736,9,75,3082,LN
Transporte Público,21,1403900011005,1403900010859,140,80,66,LN
Transporte Público,21,1403900011077,1412000016832,62,86,8395,LN
Transporte Público,21,1403900011081,1410100011997,62,87,7125,LN
Transporte Público,21,1403900011096,1403900013923,226,88,279,LN
Transporte Público,21,1403900011096,1403900014404,354,88,322,LN
Transporte Público,21,1403900011132,140390001496A,128,92,373,LN
Transporte Público,21,1403900011166,1412000012863,11,95,8133,LN
Transporte Público,21,1403900011170,1403900013711,27,96,261,LN
Transporte Público,21,1403900011170,1403900013726,48,96,262,LN
Transporte Público,21,1403900011170,1403900015347,48,96,410,LN
Transporte Público,21,1403900011170,1407000140219,36,96,3044,LN
Transporte Público,21,1403900011170,1409800012131,52,96,6111,LN
Transporte Público,21,1403900011170,1410100312317,13,96,7211,LN
Transporte Público,21,1403900011185,1409800012466,63,97,6135,LN
Transporte Público,21,1403900011221,1403900015008,140,101,377,LN
Transporte Público,21,1403900011236,1403900014067,68,102,293,LN
Transporte Público,21,1403900011289,1403900011289,43,104,104,LN
Transporte Público,21,1403900011289,141200001290A,49,104,8136,LN
Transporte Público,21,1403900011293,1403900014476,131,105,328,LN
Transporte Público,21,1403900011325,1403900011185,63,108,97,LN
Transporte Público,21,1403900011359,140980243,9,111,6237,LN
Transporte Público,21,1403900011359,1403900010346,606,111,21,LN
Transporte Público,21,1403900011359,1403900011113,114,111,90,LN
Transporte Público,21,1403900011359,1403900011359,9,111,111,LN
Transporte Público,21,1403900011359,1403900012304,136,111,192,LN
Transporte Público,21,1403900011359,1403900012395,119,111,199,LN
Transporte Público,21,1403900011359,1403900012446,27,111,203,LN
Transporte Público,21,1403900011359,1403900013482,226,111,242,LN
Transporte Público,21,1403900011359,1403900013590,128,111,251,LN
Transporte Público,21,1403900011359,1403900014014,125,111,288,LN
Transporte Público,21,1403900011359,1403900014067,119,111,293,LN
Transporte Público,21,1403900011359,1403900014404,226,111,322,LN
Transporte Público,21,1403900011359,1403900015436,93,111,419,LN
Transporte Público,21,1403900011359,1407000131452,54,111,3041,LN
Transporte Público,21,1403900011359,1407000140276,13,111,3046,LN
Transporte Público,21,1403900011359,1407000140346,36,111,3048,LN
Transporte Público,21,1403900011359,1407000210736,9,111,3082,LN
Transporte Público,21,1403900011359,1409700252543,28,111,5120,LN
Transporte Público,21,1403900011359,1409700353772,54,111,5179,LN
Transporte Público,21,1403900011359,1409708221916,136,111,5263,LN
Transporte Público,21,1403900011359,1409800011398,26,111,6061,LN
Transporte Público,21,1403900011359,1409800012466,125,111,6135,LN
Transporte Público,21,1403900011359,1409800012625,101,111,6150,LN
Transporte Público,21,1403900011359,1410100010147,10,111,7001,LN
Transporte Público,21,1403900011359,1410100010522,62,111,7019,LN
Transporte Público,21,1403900011359,1410100010594,62,111,7024,LN
Transporte Público,21,1403900011359,1410100010819,131,111,7042,LN
Transporte Público,21,1403900011359,1410100010895,82,111,7048,LN
Transporte Público,21,1403900011359,1410100010912,82,111,7049,LN
Transporte Público,21,1403900011359,1410100010950,82,111,7053,LN
Transporte Público,21,1403900011359,1410100312317,13,111,7211,LN
Transporte Público,21,1403900011359,1412000011206,11,111,8036,LN
Transporte Público,21,1403900011359,1412000012948,49,111,8140,LN
Transporte Público,21,1403900011359,1412000013113,27,111,8155,LN
Transporte Público,21,1403900011359,1412000014662,28,111,8273,LN
Transporte Público,21,1403900011359,1412000015444,26,111,8316,LN
Transporte Público,21,1403900011359,1412007580759,33,111,8537,LN
Transporte Público,21,1403900011359,14097059A,54,111,5241,LN
Transporte Público,21,1403900011363,1403900010736,202,112,55,LN
Transporte Público,21,1403900011363,1403900014067,119,112,293,LN
Transporte Público,21,1403900011363,1409700053166,11,112,5045,LN
Transporte Público,21,1403900011363,1412000014249,100,112,8233,LN
Transporte Público,21,1403900011378,1403900010859,420,113,66,LN
Transporte Público,21,1403900011378,1403900012592,48,113,213,LN
Transporte Público,21,1403900011378,1403900013891,128,113,276,LN
Transporte Público,21,1403900011378,1403900015154,234,113,392,LN
Transporte Público,21,1403900011378,1403900015597,226,113,434,LN
Transporte Público,21,1403900011378,1409800012752,13,113,6161,LN
Transporte Público,21,1403900011378,1410100010202,468,113,7004,LN
Transporte Público,21,1403900011467,1410100011573,13,122,7102,LN
Transporte Público,21,1403900011490,1409708531884,136,124,5358,LN
Transporte Público,21,1403900011537,141011963,62,126,7230,LN
Transporte Público,21,1403900011537,1403900014476,234,126,328,LN
Transporte Público,21,1403900011537,1405100020181,12,126,2015,LN
Transporte Público,21,1403900011537,1409800012358,163,126,6126,LN
Transporte Público,21,1403900011537,1409800012767,13,126,6162,LN
Transporte Público,21,1403900011556,140980012,59,127,6216,LN
Transporte Público,21,1403900011556,140980243,9,127,6237,LN
Transporte Público,21,1403900011556,1403900015296,140,127,405,LN
