Modo,Hora_inicio,Origen,Destino,Ponderador,Origen_ageb,Destino_ageb,Periodo
Transporte Público,18,140440011,140440011,6,1031,1031,PP
Transporte Público,18,140440011,999990005,6,1031,10004,PP
Transporte Público,18,140440011,1404400020134,7,1031,1016,PP
Transporte Público,18,140440011,1404400540401,15,1031,1033,PP
Transporte Público,18,140440011,1404400540416,15,1031,1034,PP
Transporte Público,18,140440011,1407000641306,33,1031,3118,PP
Transporte Público,18,140440011,1409707771780,32,1031,5247,PP
Transporte Público,18,140440011,1409800011190,125,1031,6046,PP
Transporte Público,18,140510016,1407000011503,33,2019,3026,PP
Transporte Público,18,140510016,1410100260683,13,2019,7197,PP
Transporte Público,18,140510016,1410100312317,13,2019,7211,PP
Transporte Público,18,140970015,140970015,11,5060,5060,PP
Transporte Público,18,140970015,1409700312774,6,5060,5132,PP
Transporte Público,18,140970015,1409800143229,59,5060,6230,PP
Transporte Público,18,140970104,1409700010922,9,5209,5010,PP
Transporte Público,18,140970123,1409700150710,6,5222,5066,PP
Transporte Público,18,140970123,1409700150956,6,5222,5068,PP
Transporte Público,18,140970602,140970602,59,5242,5242,PP
Transporte Público,18,140970602,140980012,59,5242,6216,PP
Transporte Público,18,140970602,1403900012802,59,5242,227,PP
Transporte Público,18,140970602,1409700201013,59,5242,5079,PP
Transporte Público,18,140970602,1409700320180,59,5242,5136,PP
Transporte Público,18,140970602,1409708222469,136,5242,5274,PP
Transporte Público,18,140970602,1409800011256,52,5242,6052,PP
Transporte Público,18,140972308,1409708714060,54,5384,5372,PP
Transporte Público,18,140972308,1409708744022,272,5384,5375,PP
Transporte Público,18,140972308,1409800012714,52,5384,6157,PP
Transporte Público,18,140972308,1409800012752,13,5384,6161,PP
Transporte Público,18,140972416,1409700010937,15,5387,5011,PP
Transporte Público,18,140980012,1409700010937,9,6216,5011,PP
Transporte Público,18,140980012,1409700201013,21,6216,5079,PP
Transporte Público,18,140980012,1409700320053,26,6216,5135,PP
Transporte Público,18,140980012,1409700321189,59,6216,5149,PP
Transporte Público,18,140980012,1409704241761,59,6216,5232,PP
Transporte Público,18,140980012,1409800011928,85,6216,6099,PP
Transporte Público,18,140980012,1409800141129,72,6216,6219,PP
Transporte Público,18,140980012,1409800142023,59,6216,6221,PP
Transporte Público,18,140980012,1409800143159,21,6216,6228,PP
Transporte Público,18,140980012,140970025080A,59,6216,5098,PP
Transporte Público,18,140980243,140980243,9,6237,6237,PP
Transporte Público,18,140980243,1407000210967,27,6237,3086,PP
Transporte Público,18,140980243,1407000430806,10,6237,3105,PP
Transporte Público,18,140980243,1409800010084,9,6237,6005,PP
Transporte Público,18,140980243,1409800011063,9,6237,6037,PP
Transporte Público,18,140980243,1409800012428,18,6237,6131,PP
Transporte Público,18,140980243,1410100011569,9,6237,7101,PP
Transporte Público,18,140980243,1412000011441,152,6237,8043,PP
Transporte Público,18,140980243,140700021101A,9,6237,3088,PP
Transporte Público,18,140980243,140980001320A,54,6237,6198,PP
Transporte Público,18,141011959,1410100010147,10,7229,7001,PP
Transporte Público,18,141011959,1410100010861,82,7229,7046,PP
Transporte Público,18,141011959,1410100011766,82,7229,7115,PP
Transporte Público,18,141011959,1410100091465,62,7229,7151,PP
Transporte Público,18,141011959,141010001115A,62,7229,7071,PP
Transporte Público,18,141011963,141011963,10,7230,7230,PP
Transporte Público,18,141011963,1403900011359,10,7230,111,PP
Transporte Público,18,141011963,1410100010931,62,7230,7051,PP
Transporte Público,18,141011963,1410100010946,82,7230,7052,PP
Transporte Público,18,141011963,1410100011573,13,7230,7102,PP
Transporte Público,18,141011963,1410100011982,62,7230,7124,PP
Transporte Público,18,141011963,1410100091465,62,7230,7151,PP
Transporte Público,18,141012552,1407000140810,36,7231,3058,PP
Transporte Público,18,141012567,1407001211518,52,7232,3127,PP
Transporte Público,18,141200068,1412007570439,33,8451,8529,PP
Transporte Público,18,141200068,1412007580759,33,8451,8537,PP
Transporte Público,18,141200087,1412002065054,2,8452,8462,PP
Transporte Público,18,141200087,141200206504A,4,8452,8461,PP
Transporte Público,18,141200123,141200123,33,8455,8455,PP
Transporte Público,18,141200123,1409708223749,242,8455,5290,PP
Transporte Público,18,141200123,1412002065054,2,8455,8462,PP
Transporte Público,18,141200123,1412007580509,33,8455,8532,PP
Transporte Público,18,141200142,1412002434709,7,8459,8516,PP
Transporte Público,18,141205567,1412000011206,11,8546,8036,PP
Transporte Público,18,141205567,1412000012242,77,8546,8077,PP
Transporte Público,18,141205567,1412000016550,53,8546,8372,PP
Transporte Público,18,141205567,1412000016885,75,8546,8400,PP
Transporte Público,18,141240029,141240029,4,9042,9042,PP
Transporte Público,18,141240029,1410100010147,10,9042,7001,PP
Transporte Público,18,141240033,141240033,2,9043,9043,PP
Transporte Público,18,141240033,141240071,2,9043,9045,PP
Transporte Público,18,141240071,1412400010512,20,9045,9033,PP
Transporte Público,18,141240090,1410100312317,13,9047,7211,PP
Transporte Público,18,999990001,141200142,14,10006,8459,PP
Transporte Público,18,999990001,999990001,131,10006,10006,PP
Transporte Público,18,999990001,1409708714056,55,10006,5371,PP
Transporte Público,18,999990001,1412000010617,62,10006,8014,PP
Transporte Público,18,999990001,1412000011193,88,10006,8035,PP
Transporte Público,18,999990001,1412002434713,14,10006,8517,PP
Transporte Público,18,999990005,140440026,12,10004,1032,PP
Transporte Público,18,999990005,141240090,2,10004,9047,PP
Transporte Público,18,999990005,1404400010098,54,10004,1004,PP
Transporte Público,18,999990005,1404400010280,12,10004,1006,PP
Transporte Público,18,999990005,1404400020115,8,10004,1014,PP
Transporte Público,18,999990005,1404400020346,8,10004,1022,PP
Transporte Público,18,999990005,1407000130327,36,10004,3030,PP
Transporte Público,18,999990005,1409700053503,11,10004,5047,PP
Transporte Público,18,999990005,1409700053768,22,10004,5050,PP
Transporte Público,18,999990005,1409700092810,32,10004,5051,PP
