Modo,Hora_inicio,Origen,Destino,Ponderador,Origen_ageb,Destino_ageb,Periodo
Vehículo Privado,4,140440011,1404400010100,27,1031,1005,AP
Vehículo Privado,4,140440011,140970005034A,27,1031,5036,AP
Vehículo Privado,4,141011963,999990005,18,7230,10004,AP
Vehículo Privado,4,141011963,1410100010950,144,7230,7053,AP
Vehículo Privado,4,141240029,141240029,9,9042,9042,AP
Vehículo Privado,4,999990004,1412000010369,137,10001,8008,AP
Vehículo Privado,4,999990004,141200758080A,59,10001,8539,AP
Vehículo Privado,4,999990005,140440002012A,7,10004,1015,AP
Vehículo Privado,4,1403900010026,1412000013325,178,1,8173,AP
Vehículo Privado,4,1403900010204,1403900010223,226,11,12,AP
Vehículo Privado,4,1403900010346,99999000A,202,21,10002,AP
Vehículo Privado,4,1403900010825,1403900011397,3,63,115,AP
Vehículo Privado,4,1403900011109,141200001116A,88,89,8033,AP
Vehículo Privado,4,1403900011132,1412000012755,192,92,8124,AP
Vehículo Privado,4,1403900011170,1403900010774,111,96,58,AP
Vehículo Privado,4,1403900011359,1403900010115,202,111,6,AP
Vehículo Privado,4,1403900011359,1412000013077,137,111,8152,AP
Vehículo Privado,4,1403900011359,1412000015158,48,111,8297,AP
Vehículo Privado,4,1403900011359,1412002434713,13,111,8517,AP
Vehículo Privado,4,1403900011560,99999000A,75,128,10002,AP
Vehículo Privado,4,1403900011594,1412000013166,100,131,8160,AP
Vehículo Privado,4,1403900011683,140390001051A,498,139,36,AP
Vehículo Privado,4,1403900012357,1403900015366,119,195,412,AP
Vehículo Privado,4,1403900012554,1409800012131,91,209,6111,AP
Vehículo Privado,4,1403900012677,1403900012677,104,219,219,AP
Vehículo Privado,4,1403900012709,999990001,119,222,10006,AP
Vehículo Privado,4,1403900012709,1403900015366,119,222,412,AP
Vehículo Privado,4,1403900012713,1403900015366,96,223,412,AP
Vehículo Privado,4,1403900012785,141200001066A,100,225,8018,AP
Vehículo Privado,4,1403900013336,1403900015366,238,238,412,AP
Vehículo Privado,4,1403900013919,1403900011715,246,278,142,AP
