Modo,Hora_inicio,Origen,Destino,Ponderador,Origen_ageb,Destino_ageb,Periodo
Vehículo Privado,9,140440011,140440011,37,1031,1031,LM
Vehículo Privado,9,140440011,999990005,37,1031,10004,LM
Vehículo Privado,9,140440011,1403900014565,27,1031,337,LM
Vehículo Privado,9,140440011,1404400010100,20,1031,1005,LM
Vehículo Privado,9,140440011,14097059A,27,1031,5241,LM
Vehículo Privado,9,140440026,1404400010098,10,1032,1004,LM
Vehículo Privado,9,140440026,140440002012A,7,1032,1015,LM
Vehículo Privado,9,140440026,140970005034A,10,1032,5036,LM
Vehículo Privado,9,140510016,1405100010069,118,2019,2003,LM
Vehículo Privado,9,140510016,140510001004A,2,2019,2001,LM
Vehículo Privado,9,140701467,141012552,23,3133,7231,LM
Vehículo Privado,9,140701467,1410100312321,23,3133,7212,LM
Vehículo Privado,9,140970015,1409700010918,19,5060,5009,LM
Vehículo Privado,9,140970104,140970104,57,5209,5209,LM
Vehículo Privado,9,140970104,140970123,19,5209,5222,LM
Vehículo Privado,9,140970104,999990001,19,5209,10006,LM
Vehículo Privado,9,140970104,1409700010918,19,5209,5009,LM
Vehículo Privado,9,140970104,1409700340250,38,5209,5156,LM
Vehículo Privado,9,140970104,1409700342505,19,5209,5165,LM
Vehículo Privado,9,140970104,1409704240443,19,5209,5228,LM
Vehículo Privado,9,140970104,1409704241776,19,5209,5233,LM
Vehículo Privado,9,140970123,140970123,20,5222,5222,LM
Vehículo Privado,9,140970123,1409700150960,10,5222,5069,LM
Vehículo Privado,9,140970123,1409800010031,10,5222,6001,LM
Vehículo Privado,9,140970602,1403900011359,104,5242,111,LM
Vehículo Privado,9,140970602,1409800010879,91,5242,6028,LM
Vehículo Privado,9,140970602,1412000014836,91,5242,8281,LM
Vehículo Privado,9,140972416,1409700010922,30,5387,5010,LM
Vehículo Privado,9,140972416,1409708744022,15,5387,5375,LM
Vehículo Privado,9,140972416,140970005034A,15,5387,5036,LM
Vehículo Privado,9,140973679,1409708352736,54,5390,5323,LM
Vehículo Privado,9,140973679,1412000010710,10,5390,8021,LM
Vehículo Privado,9,140980012,1409800141129,38,6216,6219,LM
Vehículo Privado,9,140980243,1403900015309,15,6237,406,LM
Vehículo Privado,9,140980243,1409704241761,15,6237,5232,LM
Vehículo Privado,9,140980243,1409800012201,15,6237,6116,LM
Vehículo Privado,9,141011963,1403900011359,162,7230,111,LM
Vehículo Privado,9,141011963,1409800011203,109,7230,6047,LM
Vehículo Privado,9,141011963,140980001007A,144,7230,6004,LM
Vehículo Privado,9,141200068,1412002312026,132,8451,8465,LM
Vehículo Privado,9,141200123,141200123,3,8455,8455,LM
Vehículo Privado,9,141200123,1403900011359,3,8455,111,LM
Vehículo Privado,9,141200123,1412000010212,3,8455,8001,LM
Vehículo Privado,9,141200123,1412000016550,6,8455,8372,LM
Vehículo Privado,9,141200123,1412002065054,3,8455,8462,LM
Vehículo Privado,9,141200123,1412004306940,6,8455,8519,LM
