Modo,Hora_inicio,Origen,Destino,Ponderador,Origen_ageb,Destino_ageb,Periodo
Vehículo Privado,18,140440011,140440011,108,1031,1031,PP
Vehículo Privado,18,140440011,140970123,10,1031,5222,PP
Vehículo Privado,18,140440011,1404400010083,10,1031,1003,PP
Vehículo Privado,18,140440011,1404400020115,7,1031,1014,PP
Vehículo Privado,18,140440011,1404400020153,7,1031,1018,PP
Vehículo Privado,18,140440011,1404400100223,57,1031,1027,PP
Vehículo Privado,18,140440011,1404400100238,27,1031,1028,PP
Vehículo Privado,18,140440011,1404400540401,81,1031,1033,PP
Vehículo Privado,18,140440011,1407000201382,59,1031,3079,PP
Vehículo Privado,18,140440011,1409700053147,19,1031,5043,PP
Vehículo Privado,18,140440011,1409707771780,57,1031,5247,PP
Vehículo Privado,18,140440011,1410100012020,27,1031,7128,PP
Vehículo Privado,18,140440011,140700111133A,118,1031,3121,PP
Vehículo Privado,18,140440011,14097059A,27,1031,5241,PP
Vehículo Privado,18,140440026,140440026,10,1032,1032,PP
Vehículo Privado,18,140440026,1404400020115,14,1032,1014,PP
Vehículo Privado,18,140440026,1404400020134,7,1032,1016,PP
Vehículo Privado,18,140440026,1404400540420,54,1032,1035,PP
Vehículo Privado,18,140440026,140440002005A,7,1032,1013,PP
Vehículo Privado,18,140440026,140440002012A,7,1032,1015,PP
Vehículo Privado,18,140510016,140701467,23,2019,3133,PP
Vehículo Privado,18,140510016,1405100010139,12,2019,2010,PP
Vehículo Privado,18,140510016,1407000200204,59,2019,3067,PP
Vehículo Privado,18,140510035,1412401760160,3,2020,9051,PP
Vehículo Privado,18,140510035,140440002012A,7,2020,1015,PP
Vehículo Privado,18,140701467,140701467,23,3133,3133,PP
Vehículo Privado,18,140701467,1403900010030,75,3133,2,PP
Vehículo Privado,18,140701467,1403900013942,23,3133,281,PP
Vehículo Privado,18,140701467,1407001211518,276,3133,3127,PP
Vehículo Privado,18,140701467,14070140A,23,3133,3131,PP
Vehículo Privado,18,140701467,141010027236A,23,3133,7210,PP
Vehículo Privado,18,140970015,140970123,10,5060,5222,PP
Vehículo Privado,18,140970015,1409700250354,51,5060,5087,PP
Vehículo Privado,18,140970015,1409700340388,19,5060,5158,PP
Vehículo Privado,18,140970015,1409700432613,19,5060,5204,PP
Vehículo Privado,18,140970015,141200001290A,88,5060,8136,PP
Vehículo Privado,18,140970104,140970104,57,5209,5209,PP
Vehículo Privado,18,140970104,1409700010941,19,5209,5012,PP
Vehículo Privado,18,140970104,140980001167A,19,5209,6079,PP
Vehículo Privado,18,140970123,140970123,10,5222,5222,PP
Vehículo Privado,18,140970123,1409700010918,15,5222,5009,PP
Vehículo Privado,18,140970123,1409700050335,19,5222,5035,PP
Vehículo Privado,18,140970123,1409700150960,20,5222,5069,PP
Vehículo Privado,18,140970123,1409700312774,10,5222,5132,PP
Vehículo Privado,18,140970123,1409708312011,192,5222,5298,PP
Vehículo Privado,18,140970123,1409708312026,96,5222,5299,PP
Vehículo Privado,18,140970123,1409708524179,108,5222,5353,PP
Vehículo Privado,18,140970602,140970602,91,5242,5242,PP
Vehículo Privado,18,140970602,140972308,91,5242,5384,PP
Vehículo Privado,18,140970602,1403900011359,104,5242,111,PP
Vehículo Privado,18,140970602,1409708744018,242,5242,5374,PP
Vehículo Privado,18,140970602,1409800141114,104,5242,6218,PP
Vehículo Privado,18,140970602,140510001004A,2,5242,2001,PP
Vehículo Privado,18,140970602,140980001053A,48,5242,6019,PP
Vehículo Privado,18,140971066,140970001212A,54,5383,5024,PP
Vehículo Privado,18,140972308,140973679,10,5384,5390,PP
Vehículo Privado,18,140972308,1404401700399,27,5384,1039,PP
Vehículo Privado,18,140972308,1409700053147,19,5384,5043,PP
Vehículo Privado,18,140972308,1409700411259,57,5384,5192,PP
Vehículo Privado,18,140972308,1409800011203,227,5384,6047,PP
Vehículo Privado,18,140972308,1409800012714,91,5384,6157,PP
Vehículo Privado,18,140972416,1409700012115,15,5387,5023,PP
Vehículo Privado,18,140972416,1409700233202,108,5387,5085,PP
Vehículo Privado,18,140972416,1412000010636,94,5387,8015,PP
Vehículo Privado,18,140973541,1409700010941,15,5388,5012,PP
Vehículo Privado,18,140973679,140970123,10,5390,5222,PP
Vehículo Privado,18,140973679,1409700012098,54,5390,5021,PP
Vehículo Privado,18,140973679,1409700012134,54,5390,5025,PP
Vehículo Privado,18,140973679,1409700150956,20,5390,5068,PP
Vehículo Privado,18,140973679,1409700150960,10,5390,5069,PP
Vehículo Privado,18,140973679,1409700152064,10,5390,5074,PP
Vehículo Privado,18,140980012,1403900011170,38,6216,96,PP
Vehículo Privado,18,140980012,1409800012150,23,6216,6112,PP
Vehículo Privado,18,140980012,1409800012983,23,6216,6180,PP
Vehículo Privado,18,140980188,1409800012663,23,6236,6154,PP
Vehículo Privado,18,140980243,1403900012696,119,6237,221,PP
Vehículo Privado,18,140980243,1407000140276,23,6237,3046,PP
Vehículo Privado,18,140980243,1409800010879,15,6237,6028,PP
Vehículo Privado,18,140980243,1409800011716,15,6237,6082,PP
Vehículo Privado,18,140980243,14070140A,15,6237,3131,PP
Vehículo Privado,18,140980243,141010027236A,23,6237,7210,PP
Vehículo Privado,18,141011959,1403900014033,48,7229,290,PP
Vehículo Privado,18,141011959,1407000010702,59,7229,3015,PP
Vehículo Privado,18,141011959,1410100010861,144,7229,7046,PP
Vehículo Privado,18,141011959,1410100011766,288,7229,7115,PP
Vehículo Privado,18,141011959,1410100012603,144,7229,7149,PP
Vehículo Privado,18,141011959,1410100092181,109,7229,7176,PP
Vehículo Privado,18,141012552,1407000011058,59,7231,3020,PP
Vehículo Privado,18,141012552,1407000200789,59,7231,3072,PP
Vehículo Privado,18,141012552,1410100341978,144,7231,7214,PP
Vehículo Privado,18,141012567,1405100020196,126,7232,2016,PP
Vehículo Privado,18,141200087,1403900011113,404,8452,90,PP
Vehículo Privado,18,141200087,1412000012793,240,8452,8127,PP
Vehículo Privado,18,141200087,1412000012806,192,8452,8128,PP
Vehículo Privado,18,141200087,1412002065054,6,8452,8462,PP
Vehículo Privado,18,141200087,1412002316989,132,8452,8507,PP
Vehículo Privado,18,141200087,141200206504A,6,8452,8461,PP
Vehículo Privado,18,141200104,1412002312079,24,8454,8468,PP
Vehículo Privado,18,141200104,1412002316230,132,8454,8493,PP
Vehículo Privado,18,141200123,141200123,144,8455,8455,PP
Vehículo Privado,18,141200123,1409700010922,132,8455,5010,PP
Vehículo Privado,18,141200123,1409708221600,242,8455,5259,PP
Vehículo Privado,18,141200123,1412002065054,3,8455,8462,PP
Vehículo Privado,18,141200123,1412002314164,24,8455,8477,PP
Vehículo Privado,18,141200142,141200142,39,8459,8459,PP
Vehículo Privado,18,141200142,1410100010452,41,8459,7013,PP
Vehículo Privado,18,141200142,1412000010617,2200,8459,8014,PP
Vehículo Privado,18,141200142,1412000013289,13,8459,8169,PP
Vehículo Privado,18,141200142,1412000013293,13,8459,8170,PP
Vehículo Privado,18,141200142,1412002314179,216,8459,8478,PP
Vehículo Privado,18,141200142,1412002434709,169,8459,8516,PP
Vehículo Privado,18,141200157,141200157,19,8460,8460,PP
Vehículo Privado,18,141203908,1403900010115,202,8545,6,PP
Vehículo Privado,18,141205567,141200142,26,8546,8459,PP
Vehículo Privado,18,141205567,1403900012709,119,8546,222,PP
Vehículo Privado,18,141205567,1409800011237,96,8546,6050,PP
Vehículo Privado,18,141205567,1412000011206,19,8546,8036,PP
Vehículo Privado,18,141205567,1412000012948,88,8546,8140,PP
Vehículo Privado,18,141205567,1412000013575,19,8546,8189,PP
Vehículo Privado,18,141205567,1412002312079,24,8546,8468,PP
Vehículo Privado,18,141205567,141200001290A,88,8546,8136,PP
Vehículo Privado,18,141240014,141240029,30,9041,9042,PP
Vehículo Privado,18,141240014,141240071,35,9041,9045,PP
Vehículo Privado,18,141240029,141240029,36,9042,9042,PP
Vehículo Privado,18,141240029,141240033,3,9042,9043,PP
Vehículo Privado,18,141240029,1410100092139,9,9042,7171,PP
Vehículo Privado,18,141240029,1412400010480,35,9042,9030,PP
Vehículo Privado,18,141240033,141240029,9,9043,9042,PP
Vehículo Privado,18,141240033,141240033,18,9043,9043,PP
Vehículo Privado,18,141240033,141240090,45,9043,9047,PP
Vehículo Privado,18,141240033,1405100020196,84,9043,2016,PP
Vehículo Privado,18,141240033,1405100020209,21,9043,2017,PP
