Modo,Hora_inicio,Origen,Destino,Ponderador,Origen_ageb,Destino_ageb,Periodo
Transporte Público,4,140440011,1403900011170,15,1031,96,AP
Transporte Público,4,140440011,1412000015374,15,1031,8315,AP
Transporte Público,4,140970602,1409700201013,118,5242,5079,AP
Transporte Público,4,140972416,1412000010636,53,5387,8015,AP
Transporte Público,4,140980243,1409800011928,9,6237,6099,AP
Transporte Público,4,141240029,141240014,3,9042,9041,AP
Transporte Público,4,1403900010115,1403900011359,114,6,111,AP
Transporte Público,4,1403900010666,1403900011359,114,48,111,AP
Transporte Público,4,1403900010736,1412000010617,202,55,8014,AP
Transporte Público,4,1403900011024,1412000010617,114,82,8014,AP
Transporte Público,4,1403900012592,1403900015366,27,213,412,AP
Transporte Público,4,1403900012681,1403900015366,68,220,412,AP
Transporte Público,4,1403900012728,1412000010405,125,224,8011,AP
Transporte Público,4,1403900013552,1412000010405,227,248,8011,AP
Transporte Público,4,1403900014118,1412000010617,202,298,8014,AP
Transporte Público,4,1403900014809,1403900011359,202,357,111,AP
Transporte Público,4,1403900014870,141200001422A,114,364,8231,AP
Transporte Público,4,1404400020153,1409800012767,4,1018,6162,AP
Transporte Público,4,1404400100238,1404400100238,15,1028,1028,AP
Transporte Público,4,1404400100242,1412000014427,27,1029,8251,AP
Transporte Público,4,1404400540401,1412000014427,15,1033,8251,AP
Transporte Público,4,1404400540435,1403900011861,15,1036,155,AP
Transporte Público,4,1405100020181,1403900015385,12,2015,414,AP
Transporte Público,4,1405100020181,1407000140558,12,2015,3055,AP
Transporte Público,4,1407000140346,1409800012150,36,3048,6112,AP
Transporte Público,4,1407000201397,1403900011359,33,3080,111,AP
Transporte Público,4,1407000210736,1412000016599,9,3082,8376,AP
Transporte Público,4,1407000210736,140980001142A,9,3082,6062,AP
Transporte Público,4,1407000210755,1412000016599,15,3084,8376,AP
Transporte Público,4,1407000210967,1403900011378,9,3086,113,AP
Transporte Público,4,1407000211005,1409800011928,24,3087,6099,AP
Transporte Público,4,1407000211113,1412000010405,72,3091,8011,AP
Transporte Público,4,1407000431147,1403900010651,24,3115,47,AP
Transporte Público,4,1407000431147,1412000012064,9,3115,8068,AP
Transporte Público,4,1407000431147,1412000016599,9,3115,8376,AP
Transporte Público,4,1407001211518,14070140A,13,3127,3131,AP
Transporte Público,4,1409700012115,1403900012554,31,5023,209,AP
Transporte Público,4,1409700012115,1403900013783,31,5023,266,AP
Transporte Público,4,1409700012115,1409708221545,31,5023,5253,AP
Transporte Público,4,1409700053147,1403900010030,19,5043,2,AP
Transporte Público,4,1409700053166,1409800012659,11,5045,6153,AP
Transporte Público,4,1409700053503,1403900010030,19,5047,2,AP
Transporte Público,4,1409700252543,1403900011359,28,5120,111,AP
Transporte Público,4,1409700350138,140980001320A,54,5169,6198,AP
Transporte Público,4,1409700411263,1409708634126,32,5193,5368,AP
Transporte Público,4,1409707772365,14097059A,32,5248,5241,AP
Transporte Público,4,1409708221973,1403900011359,378,5269,111,AP
Transporte Público,4,1409708221973,1403900014743,136,5269,352,AP
Transporte Público,4,1409708221973,1407000130416,136,5269,3034,AP
Transporte Público,4,1409708221973,1412000010405,136,5269,8011,AP
