Modo,Hora_inicio,Origen,Destino,Ponderador,Origen_ageb,Destino_ageb,Periodo
Transporte Público,0,140980243,1407000211185,9,6237,3094,EM
Transporte Público,0,1403900012588,1403900014014,125,212,288,EM
Transporte Público,0,1403900012624,1403900012639,136,216,217,EM
Transporte Público,0,1403900012639,1403900012624,136,217,216,EM
Transporte Público,0,1403900013406,1403900015474,125,241,422,EM
Transporte Público,0,1403900014014,1403900012588,125,288,212,EM
Transporte Público,0,1403900014048,140390001350A,125,291,243,EM
Transporte Público,0,1403900014298,1403900014300,131,315,316,EM
Transporte Público,0,1403900014300,1403900014298,131,316,315,EM
Transporte Público,0,1403900015065,141010001019A,131,383,7003,EM
Transporte Público,0,1403900015224,1403900015667,131,399,441,EM
Transporte Público,0,1403900015474,1403900013406,125,422,241,EM
Transporte Público,0,1403900015525,1409800011843,125,427,6093,EM
Transporte Público,0,1403900015667,1403900015224,131,441,399,EM
Transporte Público,0,1407000211185,140980243,9,3094,6237,EM
Transporte Público,0,1407000430651,1407000431147,9,3103,3115,EM
Transporte Público,0,1407000431147,1407000430651,9,3115,3103,EM
Transporte Público,0,1409700350138,1409700353734,54,5169,5178,EM
Transporte Público,0,1409700353734,1409700350138,54,5178,5169,EM
Transporte Público,0,1409708441687,1409708441691,59,5345,5346,EM
Transporte Público,0,1409708441691,1409708441687,59,5346,5345,EM
Transporte Público,0,1409800010101,1409800010116,136,6006,6007,EM
Transporte Público,0,1409800010116,1409800010101,136,6007,6006,EM
Transporte Público,0,1409800010506,1409800011542,136,6017,6071,EM
Transporte Público,0,1409800011190,140980001135A,125,6046,6057,EM
Transporte Público,0,1409800011542,1409800010506,136,6071,6017,EM
Transporte Público,0,1409800011843,1403900015525,125,6093,427,EM
Transporte Público,0,1409800012413,140390001400A,136,6130,287,EM
Transporte Público,0,1409800012983,1409800013303,13,6180,6205,EM
Transporte Público,0,1409800013303,1409800012983,13,6205,6180,EM
Transporte Público,0,1410100010151,1410100011268,10,7002,7078,EM
Transporte Público,0,1410100011268,1410100010151,10,7078,7002,EM
Transporte Público,0,1410100011751,1410100012603,82,7114,7149,EM
Transporte Público,0,1410100012603,1410100011751,82,7149,7114,EM
Transporte Público,0,1412000010405,1412000014183,63,8011,8227,EM
Transporte Público,0,1412000014183,1412000010405,63,8227,8011,EM
Transporte Público,0,140390001350A,1403900014048,125,243,291,EM
Transporte Público,0,140390001400A,1409800012413,136,287,6130,EM
Transporte Público,0,140980001135A,1409800011190,125,6057,6046,EM
Transporte Público,0,141010001019A,1403900015065,131,7003,383,EM
Transporte Público,1,140972308,1409708312011,54,5384,5298,EM
Transporte Público,1,141205567,141200142,7,8546,8459,EM
Transporte Público,1,1403900011734,1403900010346,404,144,21,EM
Transporte Público,1,1403900011734,1403900012287,131,144,190,EM
Transporte Público,1,1403900013656,1403900014809,114,256,357,EM
Transporte Público,1,1403900014067,1403900011359,119,293,111,EM
Transporte Público,1,1405100010069,140510001004A,1,2003,2001,EM
Transporte Público,1,1405100020213,140510001004A,12,2018,2001,EM
