Modo,Hora_inicio,Origen,Destino,Ponderador,Origen_ageb,Destino_ageb,Periodo
Transporte Público,9,140440011,140440011,32,1031,1031,LM
Transporte Público,9,140440011,1403900011359,6,1031,111,LM
Transporte Público,9,140440011,1404400010098,15,1031,1004,LM
Transporte Público,9,140440011,1404400010100,15,1031,1005,LM
Transporte Público,9,140440011,1404400540401,15,1031,1033,LM
Transporte Público,9,140440011,1407001211518,15,1031,3127,LM
Transporte Público,9,140440011,1409701150890,15,1031,5212,LM
Transporte Público,9,140440011,1409707771780,15,1031,5247,LM
Transporte Público,9,140440011,1409800010879,6,1031,6028,LM
Transporte Público,9,140440026,140970005034A,15,1032,5036,LM
Transporte Público,9,140510016,1403900012319,66,2019,193,LM
Transporte Público,9,140701467,1407000010030,13,3133,3001,LM
Transporte Público,9,140701467,1409800010084,13,3133,6005,LM
Transporte Público,9,140701467,1409800012273,13,3133,6123,LM
Transporte Público,9,140701467,1410100010927,13,3133,7050,LM
Transporte Público,9,140701467,141010001097A,13,3133,7055,LM
Transporte Público,9,140970015,1409700010918,11,5060,5009,LM
Transporte Público,9,140970104,1407000210736,9,5209,3082,LM
Transporte Público,9,140970104,1409800011260,11,5209,6053,LM
Transporte Público,9,140970123,140970005034A,6,5222,5036,LM
Transporte Público,9,140970602,1409800011256,52,5242,6052,LM
Transporte Público,9,140970602,1409800012150,52,5242,6112,LM
Transporte Público,9,140970602,1409800012841,13,5242,6170,LM
Transporte Público,9,140972308,1409708614075,136,5384,5361,LM
Transporte Público,9,140972416,1403900011804,94,5387,149,LM
Transporte Público,9,140972416,1412000010636,53,5387,8015,LM
Transporte Público,9,140973679,1409700010212,31,5390,5003,LM
Transporte Público,9,140973679,1409708352736,31,5390,5323,LM
Transporte Público,9,140980012,1403900011359,76,6216,111,LM
Transporte Público,9,140980012,1409800011928,14,6216,6099,LM
Transporte Público,9,140980012,1409800142023,59,6216,6221,LM
Transporte Público,9,140980243,1409700411009,9,6237,5191,LM
Transporte Público,9,140980243,1409800011063,18,6237,6037,LM
Transporte Público,9,140980243,1410100010397,9,6237,7009,LM
Transporte Público,9,141011963,1403900011359,10,7230,111,LM
Transporte Público,9,141011963,1403900012130,144,7230,178,LM
Transporte Público,9,141011963,1410100010927,10,7230,7050,LM
Transporte Público,9,141012567,140701467,13,7232,3133,LM
Transporte Público,9,141012567,1407001211518,13,7232,3127,LM
Transporte Público,9,141012567,1410100312317,13,7232,7211,LM
Transporte Público,9,141200087,1412002065054,2,8452,8462,LM
Transporte Público,9,141200123,1412000010231,132,8455,8003,LM
Transporte Público,9,141200123,1412000016635,2,8455,8380,LM
Transporte Público,9,141200123,1412000620176,75,8455,8446,LM
Transporte Público,9,141200123,141200001098A,2,8455,8027,LM
Transporte Público,9,141200142,1403900010651,20,8459,47,LM
Transporte Público,9,141200142,1403900011359,7,8459,111,LM
Transporte Público,9,141200142,1412000011206,7,8459,8036,LM
