Modo,Hora_inicio,Origen,Destino,Ponderador,Origen_ageb,Destino_ageb,Periodo
Vehículo Privado,12,140440011,140440011,104,1031,1031,EA
Vehículo Privado,12,140440011,1404400540401,27,1031,1033,EA
Vehículo Privado,12,140440011,1409707771780,114,1031,5247,EA
Vehículo Privado,12,140440026,140440011,10,1032,1031,EA
Vehículo Privado,12,140440026,140440026,10,1032,1032,EA
Vehículo Privado,12,140440026,140440002012A,7,1032,1015,EA
Vehículo Privado,12,140510016,1405100010069,59,2019,2003,EA
Vehículo Privado,12,140510016,140510001004A,2,2019,2001,EA
Vehículo Privado,12,140701467,1409800012216,23,3133,6117,EA
Vehículo Privado,12,140970015,140980012,23,5060,6216,EA
Vehículo Privado,12,140970015,1409700340250,19,5060,5156,EA
Vehículo Privado,12,140970104,1409700340250,19,5209,5156,EA
Vehículo Privado,12,140970104,1409708524183,54,5209,5354,EA
Vehículo Privado,12,140970123,1409700010918,30,5222,5009,EA
Vehículo Privado,12,140970123,1409700053503,10,5222,5047,EA
Vehículo Privado,12,140970123,1409700150960,10,5222,5069,EA
Vehículo Privado,12,140970123,1409700250763,10,5222,5094,EA
Vehículo Privado,12,140970602,140980012,23,5242,6216,EA
Vehículo Privado,12,140970602,1409708221583,242,5242,5257,EA
Vehículo Privado,12,140970602,141200001066A,91,5242,8018,EA
Vehículo Privado,12,140970602,141200001447A,91,5242,8256,EA
Vehículo Privado,12,140972308,1403900015648,119,5384,439,EA
Vehículo Privado,12,140972308,1407000130416,63,5384,3034,EA
Vehículo Privado,12,140973679,1409700012098,54,5390,5021,EA
Vehículo Privado,12,140980243,1403900011359,15,6237,111,EA
Vehículo Privado,12,140980243,1407000201397,59,6237,3080,EA
Vehículo Privado,12,140980243,1407000210736,15,6237,3082,EA
Vehículo Privado,12,141012552,1410100272340,41,7231,7208,EA
Vehículo Privado,12,141012552,1410100342641,144,7231,7217,EA
Vehículo Privado,12,141200068,1412007580759,59,8451,8537,EA
Vehículo Privado,12,141200087,141200206504A,6,8452,8461,EA
Vehículo Privado,12,141200104,1412001395980,13,8454,8457,EA
Vehículo Privado,12,141200104,1412002316230,132,8454,8493,EA
Vehículo Privado,12,141200123,141200123,3,8455,8455,EA
Vehículo Privado,12,141200123,1409700010922,132,8455,5010,EA
Vehículo Privado,12,141200123,1412000012242,6,8455,8077,EA
Vehículo Privado,12,141200123,1412000014060,3,8455,8219,EA
Vehículo Privado,12,141200123,1412002065054,6,8455,8462,EA
Vehículo Privado,12,141200123,1412007500301,660,8455,8524,EA
Vehículo Privado,12,141200123,1412007580848,59,8455,8542,EA
