Modo,Hora_inicio,Origen,Destino,Ponderador,Origen_ageb,Destino_ageb,Periodo
Vehículo Privado,0,1409701800301,1412000012492,29,5223,8102,EM
Vehículo Privado,0,1409800010031,1409800011576,46,6001,6072,EM
Vehículo Privado,0,1409800011576,1409800010031,69,6072,6001,EM
Vehículo Privado,0,1412000012492,1409701800301,29,8102,5223,EM
Vehículo Privado,0,14097059A,140980128288A,91,5241,6235,EM
Vehículo Privado,0,140980128288A,14097059A,182,6235,5241,EM
Vehículo Privado,0,140970123,140970123,10,5222,5222,EM
Vehículo Privado,0,141240090,141240090,6,9047,9047,EM
Vehículo Privado,0,1403900010399,1412000014198,202,26,8228,EM
Vehículo Privado,0,1403900012022,1403900012003,246,171,169,EM
Vehículo Privado,0,1403900012554,1403900012573,48,209,211,EM
Vehículo Privado,0,1403900012573,1403900012554,48,211,209,EM
Vehículo Privado,0,1403900012605,1410100011357,492,214,7086,EM
Vehículo Privado,0,1403900012624,1403900012639,492,216,217,EM
Vehículo Privado,0,1403900012639,1403900012624,246,217,216,EM
Vehículo Privado,0,1403900013177,1410100010147,18,234,7001,EM
Vehículo Privado,0,1403900013552,1403900013533,227,248,246,EM
Vehículo Privado,0,1403900014743,1409800012485,227,352,6137,EM
Vehículo Privado,0,1403900014809,1403900010401,202,357,27,EM
Vehículo Privado,0,1403900014921,1403900014442,226,369,325,EM
Vehículo Privado,0,1403900015421,1403900015436,163,418,419,EM
Vehículo Privado,0,1403900015436,1403900015421,163,419,418,EM
Vehículo Privado,0,1405100020181,1405100020196,21,2015,2016,EM
Vehículo Privado,0,1405100020196,1405100020181,21,2016,2015,EM
Vehículo Privado,0,1409700340388,1409700340848,19,5158,5160,EM
Vehículo Privado,0,1409700340848,1409700340388,19,5160,5158,EM
Vehículo Privado,0,1409707772365,1409708634145,57,5248,5369,EM
Vehículo Privado,0,1409800010120,140980001007A,246,6008,6004,EM
Vehículo Privado,0,1409800010597,1409800010953,178,6020,6029,EM
Vehículo Privado,0,1409800011398,1409800011824,23,6061,6091,EM
Vehículo Privado,0,1409800012358,1412000013132,163,6126,8157,EM
Vehículo Privado,0,1409800012485,1403900014743,227,6137,352,EM
Vehículo Privado,0,1410100010147,1403900013177,18,7001,234,EM
Vehículo Privado,0,1410100010537,1410100011499,18,7020,7097,EM
Vehículo Privado,0,1410100010607,1410100012073,234,7025,7133,EM
Vehículo Privado,0,1410100010819,1410100012001,234,7042,7126,EM
