Modo,Hora_inicio,Origen,Destino,Ponderador,Origen_ageb,Destino_ageb,Periodo
Vehículo Privado,21,140440011,1404400020115,7,1031,1014,LN
Vehículo Privado,21,140440011,140440002005A,7,1031,1013,LN
Vehículo Privado,21,140440026,140440026,10,1032,1032,LN
Vehículo Privado,21,140701467,140701467,23,3133,3133,LN
Vehículo Privado,21,140970015,1409700213842,19,5060,5081,LN
Vehículo Privado,21,140970104,1409700010918,38,5209,5009,LN
Vehículo Privado,21,140970123,140970104,19,5222,5209,LN
Vehículo Privado,21,140972416,1409700010212,30,5387,5003,LN
Vehículo Privado,21,140972416,1409700012115,15,5387,5023,LN
Vehículo Privado,21,140972416,1409700152064,15,5387,5074,LN
Vehículo Privado,21,140972416,1409700340373,19,5387,5157,LN
Vehículo Privado,21,140972416,1409704241776,15,5387,5233,LN
Vehículo Privado,21,140972416,1409708623414,15,5387,5366,LN
Vehículo Privado,21,140972416,140970001212A,54,5387,5024,LN
Vehículo Privado,21,140980012,1409800140027,38,6216,6217,LN
Vehículo Privado,21,140980012,1409800143229,208,6216,6230,LN
Vehículo Privado,21,140980243,140700021101A,15,6237,3088,LN
Vehículo Privado,21,140980243,14070140A,15,6237,3131,LN
Vehículo Privado,21,141011959,1410100092143,109,7229,7172,LN
Vehículo Privado,21,141200087,1412000011282,100,8452,8040,LN
Vehículo Privado,21,141200091,1412000016809,110,8453,8392,LN
Vehículo Privado,21,141200123,141200123,3,8455,8455,LN
Vehículo Privado,21,141200142,1412000010617,13,8459,8014,LN
Vehículo Privado,21,141200142,1412000014836,13,8459,8281,LN
Vehículo Privado,21,141200142,1412000016777,13,8459,8389,LN
Vehículo Privado,21,141200157,1412000010212,19,8460,8001,LN
Vehículo Privado,21,141205567,1412001395995,39,8546,8458,LN
Vehículo Privado,21,141240029,141240014,3,9042,9041,LN
Vehículo Privado,21,141240029,141240029,3,9042,9042,LN
Vehículo Privado,21,141240029,1403900011359,6,9042,111,LN
Vehículo Privado,21,141240033,141240033,3,9043,9043,LN
Vehículo Privado,21,141240033,1410100092139,3,9043,7171,LN
Vehículo Privado,21,141240071,1412400010495,35,9045,9031,LN
Vehículo Privado,21,1403900010030,1412000011282,100,2,8040,LN
Vehículo Privado,21,1403900010115,1403900013656,202,6,256,LN
Vehículo Privado,21,1403900010115,1412000015139,48,6,8295,LN
Vehículo Privado,21,1403900010149,1403900013656,202,8,256,LN
Vehículo Privado,21,1403900010153,1412000013575,19,9,8189,LN
Vehículo Privado,21,1403900010238,1412000620180,132,13,8447,LN
Vehículo Privado,21,1403900010308,141200034,59,18,8442,LN
Vehículo Privado,21,1403900010308,1409700213857,19,18,5082,LN
Vehículo Privado,21,1403900010312,141200001244A,274,19,8097,LN
Vehículo Privado,21,1403900010435,1403900013656,202,29,256,LN
Vehículo Privado,21,1403900010505,1403900012056,246,35,174,LN
Vehículo Privado,21,1403900010543,1410100012603,144,39,7149,LN
Vehículo Privado,21,1403900010596,1403900010280,150,42,16,LN
Vehículo Privado,21,1403900010596,1403900010577,75,42,41,LN
Vehículo Privado,21,1403900010596,1412000016438,45,42,8365,LN
Vehículo Privado,21,1403900010613,1403900010030,75,44,2,LN
Vehículo Privado,21,1403900010613,1403900011715,246,44,142,LN
Vehículo Privado,21,1403900010613,141200001066A,100,44,8018,LN
Vehículo Privado,21,1403900010632,1403900011113,202,45,90,LN
Vehículo Privado,21,1403900010651,1412000011189,202,47,8034,LN
Vehículo Privado,21,1403900010736,1403900012130,202,55,178,LN
Vehículo Privado,21,1403900010863,1403900010524,226,67,37,LN
Vehículo Privado,21,1403900010863,1403900011217,249,67,100,LN
Vehículo Privado,21,1403900010863,1403900011715,246,67,142,LN
Vehículo Privado,21,1403900010863,1403900014828,226,67,359,LN
Vehículo Privado,21,1403900010863,1410100011982,436,67,7124,LN
Vehículo Privado,21,1403900010863,1412000011850,178,67,8059,LN
Vehículo Privado,21,1403900010863,1412000017050,190,67,8410,LN
Vehículo Privado,21,1403900010933,1403900010948,150,73,74,LN
Vehículo Privado,21,1403900010933,1403900011043,75,73,84,LN
Vehículo Privado,21,1403900010933,1403900014902,75,73,367,LN
Vehículo Privado,21,1403900011005,1403900010454,226,80,31,LN
Vehículo Privado,21,1403900011005,1409800010347,178,80,6012,LN
Vehículo Privado,21,1403900011005,1409800013322,178,80,6207,LN
Vehículo Privado,21,1403900011005,1412000013734,96,80,8204,LN
Vehículo Privado,21,1403900011005,1412000016847,31,80,8396,LN
Vehículo Privado,21,1403900011024,1412000015158,48,82,8297,LN
Vehículo Privado,21,1403900011043,1403900011753,119,84,145,LN
Vehículo Privado,21,1403900011043,1403900014457,150,84,326,LN
Vehículo Privado,21,1403900011043,1412000012473,29,84,8100,LN
Vehículo Privado,21,1403900011043,1412000014075,95,84,8220,LN
Vehículo Privado,21,1403900011128,1412000012929,137,91,8138,LN
Vehículo Privado,21,1403900011132,1410100012073,234,92,7133,LN
Vehículo Privado,21,1403900011132,1412000012399,96,92,8092,LN
Vehículo Privado,21,1403900011170,1410100010594,109,96,7024,LN
Vehículo Privado,21,1403900011170,1412000010918,137,96,8024,LN
Vehículo Privado,21,1403900011170,1412002316669,132,96,8501,LN
Vehículo Privado,21,1403900011170,141200001244A,137,96,8097,LN
Vehículo Privado,21,1403900011289,1403900010562,75,104,40,LN
Vehículo Privado,21,1403900011289,141200001244A,137,104,8097,LN
Vehículo Privado,21,1403900011293,141200123,59,105,8455,LN
Vehículo Privado,21,1403900011359,1403900012446,48,111,203,LN
Vehículo Privado,21,1403900011359,1404400100238,27,111,1028,LN
Vehículo Privado,21,1403900011359,1409800012803,178,111,6166,LN
Vehículo Privado,21,1403900011359,1410100010679,41,111,7031,LN
Vehículo Privado,21,1403900011359,1410100011037,144,111,7061,LN
Vehículo Privado,21,1403900011359,1412000010994,274,111,8028,LN
Vehículo Privado,21,1403900011359,1412000013170,100,111,8161,LN
Vehículo Privado,21,1403900011359,1412000014408,200,111,8249,LN
Vehículo Privado,21,1403900011359,141200001290A,88,111,8136,LN
Vehículo Privado,21,1403900011359,141200001582A,534,111,8338,LN
Vehículo Privado,21,1403900011363,1403900010755,111,112,57,LN
Vehículo Privado,21,1403900011363,1404400010098,10,112,1004,LN
Vehículo Privado,21,1403900011363,1412000014889,95,112,8286,LN
Vehículo Privado,21,1403900011363,1412000016565,29,112,8373,LN
Vehículo Privado,21,1403900011378,1410100012603,144,113,7149,LN
Vehículo Privado,21,1403900011429,1403900012056,246,118,174,LN
Vehículo Privado,21,1403900011452,1403900011221,249,121,101,LN
Vehículo Privado,21,1403900011452,140390001083A,249,121,64,LN
Vehículo Privado,21,1403900011537,140980243,15,126,6237,LN
Vehículo Privado,21,1403900011556,1409700250369,102,127,5088,LN
Vehículo Privado,21,1403900011594,140980243,15,131,6237,LN
Vehículo Privado,21,1403900011626,141200001582A,267,133,8338,LN
Vehículo Privado,21,1403900011630,1403900010736,202,134,55,LN
Vehículo Privado,21,1403900011753,1403900013321,119,145,237,LN
Vehículo Privado,21,1403900011753,1403900015652,163,145,440,LN
Vehículo Privado,21,1403900011787,1412000014573,267,147,8266,LN
Vehículo Privado,21,1403900011999,1410100220113,144,168,7196,LN
Vehículo Privado,21,1403900012130,1412000012473,29,178,8100,LN
Vehículo Privado,21,1403900012145,1403900012395,119,179,199,LN
Vehículo Privado,21,1403900012145,1409708332933,242,179,5316,LN
