ROUTE_ID,ROUTE_NAME,ID_RUTA,TIME,LONGITUD,DISTANCE,RUTA_ACT,RUTA_ANT,CLASE,ORI_DES,SITUACION,FRECUENCIA,FLOTA,CAPACIDAD,HEADWAY,TDR,MODE,CORREDOR,DEMANDA1,DEMANDA2,DEMANDA3,F_CORREDOR
1104,Route 901,901,,20.48,0.0,L4,,Tren ligero,Tlajomlulco Centro Fray Angelico,Construcci�n,12.0,0.0,6000.0,5.0,40.96,5,,0.0,0.0,0.0,0.0
1105,Route 902,902,,20.48,0.0,L4,,Tren ligero,Fray Angelico Tlajomulco Centro,Construcci�n,12.0,0.0,6000.0,5.0,40.97,5,,0.0,0.0,0.0,0.0
1108,Route 903,903,,11.08,0.0,SITREN L5,,SITREN,San Agust�n L4,Propuesta,5.0,0.0,80.0,12.0,30.11,6,,0.0,0.0,0.0,0.0
1109,Route 904,904,,11.2,0.0,SITREN L5,,SITREN,San Agust�n L4,Propuesta,5.0,0.0,80.0,12.0,30.11,6,,0.0,0.0,0.0,0.0
1110,Route 905,905,,10.75,0.0,SITREN L6,,SITREN,C�ntaros L4,Propuesta,5.0,0.0,80.0,12.0,30.11,6,,0.0,0.0,0.0,0.0
1112,Route 910,910,,21.59,0.0,L5,,Tren ligero,La Venta del Astillero Parque Agua Azul,Propuesta,3.0,0.0,6000.0,20.0,41.78,5,,0.0,0.0,0.0,0.0
1113,Route 909,909,,21.59,0.0,L5,,Tren ligero,Parque Agua Azul La Venta del Astillero,Propuesta,3.0,0.0,6000.0,20.0,41.78,5,,0.0,0.0,0.0,0.0
1120,Route 921,921,,14.13,0.0,SITREN L4-1,,SITREN,Lomas del Sur,Propuesta,6.0,0.0,80.0,10.0,30.11,6,,0.0,0.0,0.0,0.0
1121,Route 922,922,,14.11,0.0,SITREN L4-1,,SITREN,Lomas del Sur,Propuesta,6.0,0.0,80.0,10.0,30.11,6,,0.0,0.0,0.0,0.0
1122,Route 923,923,,1.49,0.0,SITREN L4-2,,SITREN,Los Robles,Propuesta,6.0,0.0,80.0,10.0,30.11,6,,0.0,0.0,0.0,0.0
