ROUTE_ID,ROUTE_NAME,ID_RUTA,TIME,LONGITUD,DISTANCE,RUTA_ACT,RUTA_ANT,CLASE,ORI_DES,SITUACION,FRECUENCIA,FLOTA,CAPACIDAD,HEADWAY,TDR,MODE,CORREDOR,DEMANDA1,DEMANDA2,DEMANDA3,F_CORREDOR
3,Route 100,100,116.25,39.28,3874.0,C125 Valle de los Emperadores,186 Valle de los Emperadores_2,Complementarias,Destino: Antigua Central de Autobuses,Operando,4.29,29.0,404.2,14.0,121.8,1,11.0,0.0,0.0,2.07,98.6186
5,Route 102,102,116.25,39.28,3874.0,C125 Valle de los Emperadores directa,186 Valle de los Emperadores - Direct_2,Complementarias,Destino: Antigua Central de Autobuses,Operando,3.33,21.0,297.0,18.0,121.8,1,11.0,0.0,0.0,2.07,98.6186
10,Route 107,107,119.1,35.73,2380.0,C127A (No Opera),183A Chulavista_1,Complementarias,Origen:�Villa Fontana Aqua Etapa 6,No opera,1.5,9.0,120.0,40.0,116.82,1,,0.0,0.0,0.0,66.6106
11,Route 108,108,118.14,35.5,2055.0,C127A (No Opera),183A Chulavista_2,Complementarias,Destino: Rinconada del Bosque,No opera,1.5,9.0,120.0,40.0,115.86,1,,0.0,0.0,0.0,57.8805
215,Route 292,292,87.73,23.64,0.0,C89,162 Copala_1,Complementarias,C89,Operando,0.33,1.0,24.0,180.0,80.25,1,10.0,0.0,0.0,0.0,0.0
216,Route 293,293,87.57,23.63,0.0,C89,162 Copala_2,Complementarias,C89,Operando,0.33,1.0,24.0,180.0,80.1,1,10.0,0.0,0.0,0.0,0.0
300,Route 369,369,70.08,20.4,0.0,A 19,A19_2,Alimentadora Macrob�s,A 19,Operando,5.45,17.0,440.0,11.0,66.81,4,,0.0,0.0,0.0,0.0
445,Route 5,5,62.47,17.09,0.0,T08-C02,,Complementaria de troncal,,Operando,2.0,0.0,160.0,30.0,56.44,15,,0.0,0.0,0.0,0.0
525,Route 571,571,106.6,32.11,0.0,C128A-V1,182 Balcones_2,Complementarias,Destino: Ant. Central de Autobuses,Operando,0.5,0.0,40.0,120.0,105.15,1,,0.0,0.0,0.0,0.0
556,Route 6,6,62.91,17.15,0.0,T08-C02,,Complementaria de troncal,,Operando,2.0,0.0,160.0,30.0,56.82,15,,0.0,0.0,0.0,0.0
643,Route 678,678,99.42,29.01,0.0,T14A,50A Chulavista (Adolf Horn)_2,Troncal,Destino: Centro Metropolitano,Operando,1.71,7.0,137.14,35.0,95.1,9,,0.0,0.0,0.0,0.0
644,Route 679,679,102.65,30.57,0.0,T14A-C01,50A Santa Fe (8 De Julio)_1,Complementaria de troncal,Origen: Chulavista,Operando,1.71,7.0,136.0,35.0,99.48,15,6.0,0.0,0.0,0.0,0.0
646,Route 680,680,102.13,30.63,0.0,T14A-C01,50A Santa Fe (8 De Julio)_2,Complementaria de troncal,Destino: Centro Metropolitano,Operando,1.71,7.0,136.0,35.0,98.99,15,6.0,0.0,0.0,0.0,0.0
705,Route 801,801,30.6,16.32,0.0,L1,L1,Tren ligero,,Operando,15.0,0.0,6255.0,4.0,32.65,5,2.0,0.0,0.0,0.0,0.0
706,Route 802,802,30.6,16.32,0.0,L1,L1,Tren ligero,,Operando,15.0,0.0,6255.0,4.0,32.65,5,2.0,0.0,0.0,0.0,0.0
707,Route 803,803,15.92,8.49,0.0,L2,L2,Tren ligero,,Operando,12.0,0.0,5004.0,5.0,16.98,5,9.0,0.0,0.0,0.0,0.0
708,Route 804,804,15.92,8.49,0.0,L2,L2,Tren ligero,,Operando,12.0,0.0,5004.0,5.0,16.98,5,9.0,0.0,0.0,0.0,0.0
709,Route 805,805,37.15,19.81,0.0,L3,L3,Tren ligero,,Operando,12.0,0.0,6000.0,5.0,39.62,5,3.0,0.0,0.0,0.16,0.0
710,Route 806,806,37.15,19.81,0.0,L3,L3,Tren ligero,,Operando,12.0,0.0,6000.0,5.0,39.62,5,3.0,0.0,0.0,0.16,0.0
711,Route 807,807,44.59,15.98,0.0,MC-T01,Macrob�s,BRT,,Operando,12.0,0.0,2040.0,5.0,44.59,2,5.0,0.0,0.0,0.0,0.0
712,Route 808,808,44.56,15.97,0.0,MC-T01,Macrob�s,BRT,,Operando,12.0,0.0,2040.0,5.0,44.56,2,5.0,0.0,0.0,0.0,0.0
713,Route 809,809,37.9,15.98,0.0,MC-T01 Expr�s,Macrob�s Expr�s,BRT,,Operando,6.0,0.0,1020.0,10.0,39.24,3,5.0,0.0,0.0,0.0,0.0
715,Route 810,810,37.88,15.97,0.0,MC-T01 Expr�s,Macrob�s Expr�s,BRT,,Operando,6.0,0.0,1020.0,10.0,39.21,3,5.0,0.0,0.0,0.0,0.0
741,Route 16,16,83.23,20.41,0.0,C05-1,,Complementarias,C05-1_2,Operando,2.14,10.0,168.0,28.0,74.31,1,13.0,0.0,0.0,1.72,0.0
746,Route 378,378,75.51,18.79,0.0,MP-A01,78 Huertas_1,Alimentadora Mi Macro Perif�rico,MP-A01,Operando,6.0,9.0,480.0,10.0,67.87,13,,0.0,0.0,0.0,0.0
748,Route 405,405,70.53,17.56,0.0,T02,80_1,Troncal,T02,Operando,4.29,18.0,344.0,14.0,63.58,9,,0.0,0.0,0.0,0.0
754,Route 551,551,91.05,23.13,0.0,C05,136_2,Complementarias,Destino: Centro Metropolitano,Operando,1.76,12.0,144.0,34.0,83.4,1,,0.0,0.0,0.0,0.0
755,Route 553,553,84.26,21.75,0.0,C06,136A_2,Complementarias,Destino: Centro Metropolitano,Operando,0.98,5.0,80.0,61.0,79.2,1,,0.0,0.0,0.0,0.0
759,Route 595,595,60.7,17.76,0.0,C47 Panteon,,Complementarias,,Operando,3.53,0.0,282.32,17.0,60.4,1,4.0,0.0,0.0,0.0,0.0
760,Route 599,599,53.97,16.96,0.0,C47-V2,644A Kilometro 13_2,Complementarias,Destino: Centro Metropolitano,Operando,3.75,25.0,304.0,16.0,55.37,1,4.0,0.0,0.0,0.0,0.0
762,Route 601,601,30.13,9.09,0.0,C48,644A El Tapatio_2,Complementarias,Destino: Centro Metropolitano,Operando,7.5,11.0,600.0,8.0,29.98,1,4.0,0.0,0.0,0.0,0.0
787,Route 15,15,85.47,22.24,0.0,C05-1,,Complementarias,C05-1_1,Operando,2.14,10.0,168.0,28.0,77.07,1,13.0,0.0,0.0,2.05,0.0
791,Route 379,379,69.68,18.23,0.0,MP-A01,78 Huertas_2,Alimentadora Mi Macro Perif�rico,MP-A01,Operando,6.0,9.0,480.0,10.0,63.21,13,,0.0,0.0,0.0,0.0
793,Route 404,404,66.54,17.42,0.0,T02,80_2,Troncal,T02,Operando,4.29,18.0,344.0,14.0,60.54,9,,0.0,0.0,0.0,0.0
798,Route 550,550,77.2,21.7,0.0,C05,136_1,Complementarias,Origen: Arroyo de Enmedio,Operando,1.76,12.0,144.0,34.0,74.3,1,,0.0,0.0,0.0,0.0
799,Route 552,552,87.89,23.93,0.0,C06,136A_1,Complementarias,Origen: La Cofrad�a,Operando,0.98,5.0,80.0,61.0,83.6,1,,0.0,0.0,0.0,0.0
806,Route 600,600,32.64,10.12,0.0,C48,644A El Tapatio_1,Complementarias,Origen: El Tapat�o,Operando,7.5,11.0,600.0,8.0,33.36,1,4.0,0.0,0.0,0.0,0.0
809,Route 617,617,45.26,13.24,0.0,C83,644A Las Liebres_1,Complementarias,Origen: Las Liebres,Operando,3.75,23.0,304.0,16.0,44.44,1,4.0,0.0,0.0,0.0,0.0
878,Route 193,193,68.18,19.94,0.0,C40,619 Naranja Chulavista - Tren Ligero_1,Complementarias,Origen: Chulavista,Operando*,6.67,27.0,688.0,9.0,65.68,1,,0.0,0.0,0.0,0.0
890,Route 387,387,167.04,51.34,0.0,MP-A05,619 Roja_2,Alimentadora Mi Macro Perif�rico,MP-A05,Operando,4.62,14.0,368.0,13.0,163.71,13,,0.0,0.0,0.0,0.0
921,Route 106,106,94.7,33.26,0.0,C126-V1,186A Lomas de Tejeda - TLJ - Lopez Ma_2,Complementarias,Destino: Estaci�n Col�n MiMacro Perif�rico,Operando,1.13,7.0,101.2,53.0,101.11,1,,0.0,0.0,0.0,0.0
950,Route 397,397,70.27,33.06,0.0,MP-C01,380 Oriente_2,Complementaria Mi Macro Perif�rico,MP-C01,Operando,3.0,0.0,300.0,20.0,94.47,14,19.0,0.0,0.0,0.0,0.0
966,Route 396,396,67.78,32.34,0.0,MP-C01,380 Oriente_1,Complementaria Mi Macro Perif�rico,MP-C01,Operando,3.0,0.0,300.0,20.0,91.27,14,19.0,0.0,0.0,0.0,0.0
968,Route 398,398,65.26,26.92,0.0,MP-C02,320A - 380A_1,Complementaria Mi Macro Perif�rico,MP-C02,Operando,6.67,24.0,670.0,9.0,78.47,14,,0.0,0.0,0.0,0.0
986,Route 399,399,71.24,28.91,0.0,MP-C02,320A - 380A_2,Complementaria Mi Macro Perif�rico,MP-C02,Operando,6.67,24.0,670.0,9.0,85.49,14,,0.0,0.0,0.0,0.0
990,Route 813,813,53.32,24.44,0.0,MP-T02,MP-T02,BRT,,Operando,6.0,0.0,1020.0,10.0,53.32,12,1.0,0.0,0.0,0.0,0.0
995,Route 814,814,53.26,24.41,0.0,MP-T02,MP-T02,BRT,,Operando,6.0,0.0,1020.0,10.0,53.26,12,1.0,0.0,0.0,0.0,0.0
1009,Route 541,541,130.74,40.35,0.0,T17-C01,632A Villa Fontana - Galerias Santa A_2,Complementaria de troncal,T17-C01,Operando,4.29,22.0,344.0,14.0,127.51,15,,0.0,0.0,0.0,0.0
1017,Route 540,540,134.35,40.33,0.0,T17-C01,632A Villa Fontana - Galerias Santa A_1,Complementaria de troncal,T17-C01,Operando,4.29,22.0,344.0,14.0,130.58,15,,0.0,0.0,0.0,0.0
1022,Route 812,812,92.42,42.36,0.0,MP-T01,Perib�s,BRT,,Operando,12.0,0.0,2040.0,5.0,92.42,12,1.0,0.0,0.0,0.0,0.0
1025,Route 816,816,39.79,18.24,0.0,MP-T03,MP-T03,BRT,,Operando,6.0,0.0,1020.0,10.0,39.79,12,1.0,0.0,0.0,0.0,0.0
1029,Route 313,313,82.19,25.02,0.0,C99,R 01 (181)_1,Complementarias,Origen: Haciendas de Santa Fe,Operando,2.73,9.0,216.0,22.0,79.98,1,,0.0,0.0,0.0,0.0
1042,Route 194,194,84.61,24.58,0.0,C40,619 Naranja Chulavista - Tren Ligero_2,Complementarias,Destino: Estaci�n Perif�rico Sur L1 TEU,Operando*,6.67,27.0,688.0,9.0,81.28,1,,0.0,0.0,0.0,0.0
